Sample in Buffer,Sample in Window,TRIGGER,instruction_1[15:0],LED[23:0],instruction[16:16]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
122,122,0,0,0,0
123,123,0,0,ffffff,1
124,124,0,1,200000,0
125,125,0,1,c65ffe,1
126,126,0,2,0,0
127,127,0,2,f77fbf,1
128,128,0,3,0,0
129,129,0,3,ffffff,1
130,130,0,4,200200,0
131,131,0,4,cff1fe,1
132,132,0,5,0,0
133,133,0,5,ffffff,1
134,134,0,6,0,0
135,135,0,6,ffffff,1
136,136,0,7,200000,0
137,137,0,7,cff1fe,1
138,138,0,8,0,0
139,139,0,8,c571ae,1
140,140,0,9,0,0
141,141,0,9,fff7ff,1
142,142,0,000a,0,0
143,143,0,000a,fff7ef,1
144,144,0,000b,300801,0
145,145,0,000b,0453ee,1
146,146,0,000c,0,0
147,147,0,000c,fff7ff,1
148,148,0,000d,88000,0
149,149,0,000d,4057ae,1
150,150,0,000e,0,0
151,151,0,000e,e457bf,1
152,152,0,000f,0,0
153,153,0,000f,ffffbf,1
154,154,0,10,380200,0
155,155,0,10,c645bc,1
156,156,0,11,0,0
157,157,0,11,ffefbf,1
158,158,0,12,0,0
159,159,0,12,ffefff,1
160,160,0,13,398002,0
161,161,0,13,c645ac,1
162,162,0,14,0,0
163,163,0,14,f6bfff,1
164,164,0,14,f6bfff,1
165,165,0,15,39a000,0
166,166,0,15,c217bf,1
167,167,0,16,80040,0
168,168,0,16,e617bb,1
169,169,0,17,0,0
170,170,0,17,f7bfbb,1
171,171,0,18,0,0
172,172,0,18,ffbfff,1
173,173,0,19,300000,0
174,174,0,19,c61fff,1
175,175,0,001a,0,0
176,176,0,001a,c63dbf,1
177,177,0,001b,0,0
178,178,0,001b,ffbfbf,1
179,179,0,001c,300200,0
180,180,0,001c,c76dbd,1
181,181,0,001d,0,0
182,182,0,001d,ffffff,1
183,183,0,001e,0,0
184,184,0,001e,ffffff,1
185,185,0,001f,300202,0
186,186,0,001f,c64dfc,1
187,187,0,20,29aa41,0
188,188,0,20,c450a8,1
189,189,0,21,40,0
190,190,0,21,f6f7ba,1
191,191,0,22,0,0
192,192,0,22,f6f7ae,1
193,193,0,23,3dac03,0
194,194,0,23,0051ac,1
195,195,0,24,10000,0
196,196,0,24,f657bf,1
197,197,0,25,3da041,0
198,198,0,25,4057ae,1
199,199,0,26,09a140,0
200,200,0,26,c056ba,1
201,201,0,27,80040,0
202,202,0,27,f67e3b,1
203,203,0,28,0,0
204,204,0,28,f6ffbf,1
205,205,0,29,2da000,0
206,206,0,29,c25fbe,1
207,207,0,002a,98040,0
208,208,0,002a,c65cba,1
209,209,0,002b,0,0
210,210,0,002b,f6febb,1
211,211,0,002c,288243,0
212,212,0,002c,c6519c,1
213,213,0,002d,0,0
214,214,0,002d,ffffbf,1
215,215,0,002e,0,0
216,216,0,002e,fefffe,1
217,217,0,002f,39a203,0
218,218,0,002f,c251bc,1
219,219,0,30,0,0
220,220,0,30,f6fffe,1
221,221,0,31,2da000,0
222,222,0,31,d053be,1
223,223,0,32,80000,0
224,224,0,32,d052be,1
225,225,0,33,0,0
226,226,0,33,f7ffbf,1
227,227,0,34,200201,0
228,228,0,34,d651be,1
229,229,0,35,0,0
230,230,0,35,fffbbe,1
231,231,0,36,0,0
232,232,0,36,fff3fe,1
233,233,0,37,298001,0
234,234,0,37,c251ee,1
235,235,0,38,0b8841,0
236,236,0,38,0450a6,1
237,237,0,39,0,0
238,238,0,39,f7f3a6,1
239,239,0,003a,0,0
240,240,0,003a,76f3e6,1
241,241,0,003b,2fa811,0
242,242,0,003b,0053a6,1
243,243,0,003c,0,0
244,244,0,003c,76d7a6,1
245,245,0,003d,2fa801,0
246,246,0,003d,1053a6,1
247,247,0,003e,09a940,0
248,248,0,003e,3052a6,1
249,249,0,003f,40,0
250,250,0,003f,f676b7,1
251,251,0,40,39ae77,0
252,252,0,40,64188,1
253,253,0,41,4,0
254,254,0,41,f7f32b,1
255,255,0,42,0,0
256,256,0,42,7ef3eb,1
257,257,0,43,39ae33,0
258,258,0,43,64188,1
259,259,0,44,0,0
260,260,0,44,f6ffab,1
261,261,0,45,3da802,0
262,262,0,45,0051aa,1
263,263,0,46,29a244,0
264,264,0,46,84502a,1
265,265,0,47,44,0
266,266,0,47,44,0
267,267,0,47,f6ff2b,1
268,268,0,48,0,0
269,269,0,48,fefffb,1
270,270,0,49,39a202,0
271,271,0,49,c25998,1
272,272,0,004a,280244,0
273,273,0,004a,c65999,1
274,274,0,004b,4,0
275,275,0,004b,ffff3b,1
276,276,0,004c,380223,0
277,277,0,004c,c66998,1
278,278,0,004d,0,0
279,279,0,004d,fffddb,1
280,280,0,004e,0,0
281,281,0,004e,dffbdf,1
282,282,0,004f,39a223,0
283,283,0,004f,c641cc,1
284,284,0,50,0,0
285,285,0,50,fffbef,1
286,286,0,51,298000,0
287,287,0,51,5251ee,1
288,288,0,52,200040,0
289,289,0,52,d651aa,1
290,290,0,53,0,0
291,291,0,53,ffffbb,1
292,292,0,54,200621,0
293,293,0,54,c7718e,1
294,294,0,55,0,0
295,295,0,55,fffbff,1
296,296,0,56,0,0
297,297,0,56,fffbee,1
298,298,0,57,200601,0
299,299,0,57,4651ce,1
300,300,0,58,6a0e51,0
301,301,0,58,45182,1
302,302,0,59,0,0
303,303,0,59,7ff3a3,1
304,304,0,005a,10,0
305,305,0,005a,7ff3e6,1
306,306,0,005b,fbae11,0
307,307,0,005b,51000000,1
308,308,0,005c,0,0
309,309,0,005c,76f3e7,1
310,310,0,005d,2fa811,0
311,311,0,005d,0053a6,1
312,312,0,005e,88844,0
313,313,0,005e,1450a2,1
314,314,0,005f,4,0
315,315,0,005f,f7f323,1
316,316,0,60,0,0
317,317,0,60,ffffff,1
318,318,0,61,200000,0
319,319,0,61,cff9ff,1
320,320,0,62,0,0
321,321,0,62,cffdfb,1
322,322,0,63,0,0
323,323,0,63,fffffb,1
324,324,0,64,200200,0
325,325,0,64,cff9df,1
326,326,0,65,0,0
327,327,0,65,fffdff,1
328,328,0,66,0,0
329,329,0,66,ffffff,1
330,330,0,67,300200,0
331,331,0,67,cff1ce,1
332,332,0,68,200200,0
333,333,0,68,0fe1eb,1
334,334,0,69,0,0
335,335,0,69,fff3eb,1
336,336,0,006a,0,0
337,337,0,006a,7ff3ef,1
338,338,0,006b,300a10,0
339,339,0,006b,0fe1ee,1
340,340,0,006c,0,0
341,341,0,006c,ffffef,1
342,342,0,006d,200000,0
343,343,0,006d,0453ef,1
344,344,0,006e,0,0
345,345,0,006e,8571ab,1
346,346,0,006f,0,0
347,347,0,006f,fffffb,1
348,348,0,70,381202,0
349,349,0,70,cf6189,1
350,350,0,71,4,0
351,351,0,71,ffedfb,1
352,352,0,72,0,0
353,353,0,72,ffefef,1
354,354,0,73,300202,0
355,355,0,73,4641cd,1
356,356,0,74,0,0
357,357,0,74,fffffb,1
358,358,0,75,398000,0
359,359,0,75,c645eb,1
360,360,0,76,300244,0
361,361,0,76,c60dbb,1
362,362,0,77,4,0
363,363,0,77,ffbfbb,1
364,364,0,78,0,0
365,365,0,78,ffbfff,1
366,366,0,79,300200,0
367,367,0,79,c62dfd,1
368,368,0,79,c62dfd,1
369,369,0,007a,200204,0
370,370,0,007a,c72db9,1
371,371,0,007b,0,0
372,372,0,007b,ffbffb,1
373,373,0,007c,300222,0
374,374,0,007c,cfedd9,1
375,375,0,007d,0,0
376,376,0,007d,ffeddb,1
377,377,0,007e,0,0
378,378,0,007e,dfedff,1
379,379,0,007f,300202,0
380,380,0,007f,cfe9dd,1
